user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_16,"['c_0', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_9', 'c_11', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_31', 'c_32', 'c_33', 'c_34', 'c_35', 'c_36', 'c_37', 'c_38', 'c_39', 'c_40', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_47', 'c_48', 'c_49', 'c_50', 'c_51', 'c_52', 'c_53', 'c_359', 'c_367', 'c_368', 'c_375', 'c_381', 'c_382', 'c_400', 'c_401', 'c_424', 'c_425', 'c_538', 'c_539', 'c_542', 'c_543', 'c_544', 'c_545', 'c_546', 'c_547', 'c_548', 'c_549', 'c_550', 'c_551', 'c_552']",9.0,98.0,12.024,,10.0,10.0,9.0,cresh16,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_18,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_33', 'c_34', 'c_35', 'c_36', 'c_37', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_340', 'c_341', 'c_350', 'c_351', 'c_352', 'c_358', 'c_359', 'c_360', 'c_366', 'c_367', 'c_368', 'c_374', 'c_375', 'c_381', 'c_382', 'c_401']",9.0,100.0,7.925,10.0,11.0,10.0,9.0,cresh18,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_19,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_8', 'c_17', 'c_18', 'c_19', 'c_25', 'c_26', 'c_27', 'c_28', 'c_33', 'c_34', 'c_35', 'c_41', 'c_42', 'c_63', 'c_64', 'c_65', 'c_331', 'c_332', 'c_340', 'c_341', 'c_342', 'c_343', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_374', 'c_375', 'c_376', 'c_377', 'c_380', 'c_381', 'c_382', 'c_383', 'c_401']",9.0,72.0,10.37,10.0,10.0,10.0,9.0,cresh19,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_21,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_17', 'c_18', 'c_19', 'c_20', 'c_25', 'c_26', 'c_27', 'c_28', 'c_33', 'c_34', 'c_41', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_329', 'c_330', 'c_331', 'c_332', 'c_333', 'c_340', 'c_341', 'c_342', 'c_343', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_366', 'c_367', 'c_368', 'c_369', 'c_374', 'c_375', 'c_382']",10.0,115.0,4.678,,10.0,10.0,10.0,cresh21,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_21,"['c_0', 'c_3', 'c_4', 'c_5', 'c_6', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_31', 'c_33', 'c_34', 'c_35', 'c_36', 'c_37', 'c_38', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_47', 'c_48', 'c_49', 'c_50', 'c_51', 'c_77', 'c_78', 'c_358', 'c_359', 'c_360', 'c_366', 'c_367', 'c_368', 'c_374', 'c_375', 'c_380', 'c_381', 'c_382', 'c_398', 'c_399', 'c_400', 'c_401', 'c_422', 'c_423', 'c_424', 'c_425', 'c_428', 'c_538', 'c_543', 'c_544', 'c_545', 'c_546', 'c_547', 'c_548', 'c_549', 'c_550', 'c_551', 'c_552']",10.0,94.0,3.3510000000000004,9.0,10.0,11.0,10.0,cresh21,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_18,"['c_17', 'c_18', 'c_19', 'c_25', 'c_26', 'c_27', 'c_28', 'c_33', 'c_34', 'c_35', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_156', 'c_157', 'c_350', 'c_351', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_374', 'c_375', 'c_376', 'c_377', 'c_378', 'c_380', 'c_381', 'c_382', 'c_383', 'c_384', 'c_385', 'c_398', 'c_399', 'c_400', 'c_401', 'c_402', 'c_403', 'c_422', 'c_423', 'c_424', 'c_425', 'c_426', 'c_427', 'c_428', 'c_429', 'c_430', 'c_431', 'c_432', 'c_433', 'c_547', 'c_551', 'c_578', 'c_579']",9.0,69.0,388.483,,11.0,11.0,9.0,cresh18,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_16,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_22', 'c_23', 'c_24', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_31', 'c_32', 'c_33', 'c_34', 'c_35', 'c_36', 'c_37', 'c_38', 'c_39', 'c_40', 'c_46', 'c_47', 'c_48', 'c_49', 'c_51', 'c_54', 'c_55', 'c_56', 'c_58', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_71', 'c_72', 'c_73', 'c_74', 'c_75', 'c_326', 'c_327', 'c_328', 'c_329', 'c_360', 'c_368']",9.0,97.0,7.4129999999999985,10.0,10.0,10.0,10.0,cresh16,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_16,"['c_35', 'c_36', 'c_37', 'c_38', 'c_39', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_47', 'c_48', 'c_49', 'c_50', 'c_51', 'c_52', 'c_53', 'c_66', 'c_67', 'c_76', 'c_77', 'c_78', 'c_79', 'c_81', 'c_82', 'c_83', 'c_84', 'c_85', 'c_86', 'c_87', 'c_88', 'c_89', 'c_90', 'c_91', 'c_92', 'c_93', 'c_94', 'c_96', 'c_97', 'c_102', 'c_104', 'c_105', 'c_106', 'c_107', 'c_108', 'c_396', 'c_397', 'c_414', 'c_415', 'c_417', 'c_418', 'c_419', 'c_420', 'c_421', 'c_424', 'c_425', 'c_538', 'c_539', 'c_540', 'c_541', 'c_542', 'c_543', 'c_544', 'c_545', 'c_546', 'c_547', 'c_548', 'c_549', 'c_550', 'c_551', 'c_552']",9.0,101.0,11.966,9.0,10.0,11.0,10.0,cresh16,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_16,"['c_0', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_22', 'c_23', 'c_24', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_31', 'c_32', 'c_33', 'c_34', 'c_35', 'c_36', 'c_37', 'c_38', 'c_39', 'c_40', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_47', 'c_48', 'c_49', 'c_50', 'c_51', 'c_52', 'c_53', 'c_55', 'c_59', 'c_60', 'c_66', 'c_67', 'c_69', 'c_70', 'c_71', 'c_72', 'c_73', 'c_75', 'c_417', 'c_418', 'c_538', 'c_542', 'c_543', 'c_544', 'c_550']",9.0,107.0,8.033999999999999,10.0,10.0,10.0,9.0,cresh16,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_18,"['c_17', 'c_18', 'c_19', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_33', 'c_34', 'c_35', 'c_36', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_47', 'c_48', 'c_76', 'c_77', 'c_78', 'c_79', 'c_152', 'c_156', 'c_157', 'c_158', 'c_358', 'c_359', 'c_366', 'c_367', 'c_368', 'c_369', 'c_374', 'c_375', 'c_376', 'c_380', 'c_381', 'c_382', 'c_383', 'c_384', 'c_398', 'c_399', 'c_400', 'c_401', 'c_402', 'c_422', 'c_423', 'c_424', 'c_425', 'c_426', 'c_427', 'c_428', 'c_429', 'c_430', 'c_433', 'c_544', 'c_545', 'c_547', 'c_548', 'c_549', 'c_550', 'c_551', 'c_552', 'c_578', 'c_579', 'c_580']",9.0,85.0,4.695,10.0,11.0,11.0,9.0,cresh18,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_19,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_8', 'c_17', 'c_18', 'c_19', 'c_20', 'c_25', 'c_26', 'c_27', 'c_28', 'c_33', 'c_34', 'c_35', 'c_41', 'c_42', 'c_63', 'c_64', 'c_65', 'c_330', 'c_331', 'c_332', 'c_340', 'c_341', 'c_342', 'c_343', 'c_344', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_374', 'c_375', 'c_376', 'c_377', 'c_380', 'c_381', 'c_382', 'c_401']",9.0,81.0,7.688,10.0,10.0,10.0,9.0,cresh19,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_21,"['c_1', 'c_2', 'c_3', 'c_4', 'c_17', 'c_63', 'c_64', 'c_65', 'c_302', 'c_303', 'c_315', 'c_316', 'c_317', 'c_318', 'c_319', 'c_320', 'c_330', 'c_331', 'c_332', 'c_333', 'c_334', 'c_335', 'c_340', 'c_341', 'c_342', 'c_343', 'c_344', 'c_345', 'c_347', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_355', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_363', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370']",10.0,93.0,2.5780000000000003,9.0,10.0,11.0,10.0,cresh21,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_26,"['c_237', 'c_238', 'c_249', 'c_250', 'c_251', 'c_252', 'c_253', 'c_266', 'c_267', 'c_268', 'c_269', 'c_270', 'c_271', 'c_272', 'c_281', 'c_282', 'c_283', 'c_284', 'c_285', 'c_286', 'c_287', 'c_296', 'c_297', 'c_298', 'c_299', 'c_300', 'c_301', 'c_302', 'c_312', 'c_313', 'c_314', 'c_315', 'c_316', 'c_317', 'c_328', 'c_329', 'c_330', 'c_331']",9.0,62.0,1.889,10.0,10.0,10.0,10.0,cresh26,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
