id,x,y,cells
fa_0,185.79092691,46.803043226899995,114||115||124||125||126||127||134||135||136||137
fa_1,175.06560766599998,46.803043226899995,83||102||103||104||105||112||113||115
fa_2,175.06560766599998,33.0204176783,87||106||107||117||118
fa_3,185.79092691,33.0204176783,117||118||128||129||141||142||143
fa_4,185.79092691,20.1767370889,120||130||131||132||146||147||148
fa_5,175.06560766599998,20.1767370889,95||108||109||110||119||120
fa_6,140.25521406200002,33.0204176783,30||31||37||38
fa_7,129.529894817,33.0204176783,9||11||12||21||22
fa_8,88.7026385419,42.099831875,250||267||268||269||283
